NOMBRE,X,Y
BARRIO ACUEDUCTO SAN ANTONIO,1059026,873057
BARRIO ACUEDUCTO SAN ANTONIO,1059032,873058
BARRIO ACUEDUCTO SAN ANTONIO,1059043,873058
BARRIO ACUEDUCTO SAN ANTONIO,1059067,873059
BARRIO ACUEDUCTO SAN ANTONIO,1059094,873059
BARRIO ACUEDUCTO SAN ANTONIO,1059107,873060
BARRIO ACUEDUCTO SAN ANTONIO,1059119,873062
BARRIO ACUEDUCTO SAN ANTONIO,1059129,873063
BARRIO ACUEDUCTO SAN ANTONIO,1059153,873067
BARRIO ACUEDUCTO SAN ANTONIO,1059178,873072
BARRIO ACUEDUCTO SAN ANTONIO,1059186,873073
BARRIO ACUEDUCTO SAN ANTONIO,1059205,873078
BARRIO ACUEDUCTO SAN ANTONIO,1059215,873071
BARRIO ACUEDUCTO SAN ANTONIO,1059224,873065
BARRIO ACUEDUCTO SAN ANTONIO,1059230,873061
BARRIO ACUEDUCTO SAN ANTONIO,1059233,873059
BARRIO ACUEDUCTO SAN ANTONIO,1059238,873057
BARRIO ACUEDUCTO SAN ANTONIO,1059243,873056
BARRIO ACUEDUCTO SAN ANTONIO,1059247,873055
BARRIO ACUEDUCTO SAN ANTONIO,1059257,873055
BARRIO ACUEDUCTO SAN ANTONIO,1059263,873056
BARRIO ACUEDUCTO SAN ANTONIO,1059269,873058
BARRIO ACUEDUCTO SAN ANTONIO,1059279,873061
BARRIO ACUEDUCTO SAN ANTONIO,1059288,873065
BARRIO ACUEDUCTO SAN ANTONIO,1059291,873066
BARRIO ACUEDUCTO SAN ANTONIO,1059327,873083
BARRIO ACUEDUCTO SAN ANTONIO,1059364,873101
BARRIO ACUEDUCTO SAN ANTONIO,1059368,873103
BARRIO AGUABLANCA,1062280,871491
BARRIO AGUABLANCA,1062296,871487
BARRIO AGUABLANCA,1062315,871480
BARRIO AGUABLANCA,1062356,871473
BARRIO AGUABLANCA,1062370,871471
BARRIO AGUABLANCA,1062372,871461
BARRIO AGUABLANCA,1062373,871457
BARRIO AGUABLANCA,1062374,871452
BARRIO AGUABLANCA,1062375,871449
BARRIO AGUABLANCA,1062375,871449
BARRIO AGUABLANCA,1062373,871429
BARRIO AGUABLANCA,1062373,871423
BARRIO AGUABLANCA,1062376,871409
BARRIO AGUABLANCA,1062369,871353
BARRIO AGUABLANCA,1062369,871344
BARRIO AGUABLANCA,1062368,871338
BARRIO AGUABLANCA,1062368,871336
BARRIO AGUABLANCA,1062364,871299
BARRIO AGUABLANCA,1062358,871246
BARRIO AGUABLANCA,1062356,871230
BARRIO AGUABLANCA,1062354,871205
BARRIO AGUABLANCA,1062351,871176
BARRIO AGUABLANCA,1062343,871122
BARRIO AGUABLANCA,1062343,871103
BARRIO AGUABLANCA,1062339,871063
BARRIO AGUABLANCA,1062336,871043
